192,13344,ΑΝΩ ΛΙΟΣΙΑ
193,13672,ΝΕΟ ΜΟΝΟΠΑΤΙ
194,54621,ΔΕΘ Δ.Ε.Θ. ΕΚΘΕΣΗ
195,11745,ΝΕΟΣ ΚΟΣΜΟΣ
196,11741,ΝΕΟΣ ΚΟΣΜΟΣ
197,56727,ΝΕΑΠΟΛΗ
198,19300,ΚΟΥΝΟΥΠΙΤΣΑ
199,57008,ΚΑΛΟΧΩΡΙ
200,54310,ΕΛΑΙΩΝΕΣ ΠΥΛΑΙΑΣ
201,55133,ΒΥΖΑΝΤΙΟ
202,56533,ΜΕΤΕΩΡΑ
203,56430,ΝΙΚΟΠΟΛΗ
204,57001,ΦΟΙΝΙΚΑΣ
205,54250,ΤΕΡΜΑ ΧΑΡΙΛΑΟΥ
206,57001,ΤΡΙΑΔΙ
207,57008,Α' ΚΤΕΟ Κ.Τ.Ε.Ο. ΚΑΛΟΧΩΡΙ
208,54250,ΧΑΡΙΛΑΟΥ
209,56429,ΕΥΚΑΡΠΙΑ
210,56610,ΔΑΣΟΣ ΣΕΙΧ ΣΟΥ
211,57008,Β' ΚΤΕΟ Κ.Τ.Ε.Ο. ΚΑΛΟΧΩΡΙ
212,54628,ΛΑΧΑΝΑΓΟΡΑ
213,18233,ΑΓΙΟΣ ΙΩΑΝΝΗΣ ΡΕΝΤΗΣ
214,11521,ΑΘΗΝΑ
215,37003,ΣΚΟΠΕΛΟΣ
216,21300,ΚΡΑΝΙΔΙ
217,28100,ΚΕΦΑΛΛΟΝΙΑ
218,82103,ΧΙΟΣ
219,81401,ΛΗΜΝΟΣ
220,17778,ΤΑΥΡΟΣ
221,20000,ΑΘΗΝΑ
222,10431,ΑΘΗΝΑ
223,54124,ΑΠΘ Α.Π.Θ.
224,57001,ΘΕΡΜΗ
225,19200,ΕΛΕΥΣΙΝΑ
226,14451,ΜΕΤΑΜΟΡΦΩΣΗ
227,15351,ΠΑΛΛΗΝΗ
228,17674,ΚΑΛΛΙΘΕΑ
229,14235,ΚΑΛΟΓΡΕΖΑ
230,17455,ΑΛΙΜΟΣ
231,15126,ΜΑΡΟΥΣΙ 
232,54636,40 ΕΚΚΛΗΣΙΕΣ
233,57013,ΩΡΑΙΟΚΑΣΤΡΟ
234,54250,ΠΥΛΑΙΩΤΙΚΑ
235,56430,ΣΤΑΥΡΟΥΠΟΛΗ
236,54626,ΘΕΣΣΑΛΟΝΙΚΗ
237,55133,ΚΑΛΑΜΑΡΙΑ
238,90000,ΑΕΡΟΔΡΟΜΙΟ
239,10443,ΑΘΗΝΑΙΩΝ
240,14563,ΠΟΛΙΤΕΙΑ
241,57018,ΛΗΤΗ
242,56429,ΔΕΡΒΕΝΙ ΘΕΣΣΑΛΟΝΙΚΗΣ
243,55131,ΚΑΡΑΜΠΟΥΡΝΑΚΙ ΘΕΣΣΑΛΟΝΙΚΗ
244,55132,ΚΑΛΑΜΑΡΙΑ
245,57200,ΔΕΡΒΕΝΙ ΘΕΣΣΑΛΟΝΙΚΗΣ
246,54250,ΑΛΛΑΤΙΝΗ ΧΑΡΙΛΑΟΥ
247,54636,ΑΠΘ Α.Π.Θ.
248,54123,ΔΙΟΙΚΗΤΗΡΙΟ
249,54632,ΔΙΟΙΚΗΤΗΡΙΟ
250,55133,ΝΤΕΠΩ
251,54624,ΠΛΑΤΕΙΑ ΕΛΕΥΘΕΡΙΑΣ
252,54248,ΝΤΕΠΩ
253,56224,ΕΥΟΣΜΟΣ
254,18534,ΠΕΙΡΑΙΑΣ
255,55535,ΠΥΛΑΙΩΤΙΚΑ
256,56224,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΕΥΟΣΜΟΥ
257,17561,Π.ΦΑΛΗΡΟ
258,18452,ΝΙΚΑΙΑ
259,18122,ΚΟΡΥΔΑΛΛΟΣ
260,11528,ΑΘΗΝΑ
261,19100,ΑΣΠΡΟΠΥΡΓΟΣ
262,56532,ΠΕΡΙΦΕΡ. ΕΥΚΑΡΠΙΑ
263,54638,Γ' ΣΩΜΑ ΣΤΡΑΤΟΥ
264,54638,ΔΕΘ Δ.Ε.Θ. ΕΚΘΕΣΗ
265,57008,ΙΩΝΙΑ - Ν. ΜΑΓΝΗΣΙΑ
266,54625,ΛΑΔΑΔΙΚΑ
267,55236,ΠΑΝΟΡΑΜΑ
268,55134,ΦΟΙΝΙΚΑΣ
269,54628,ΙΩΝΙΑ
270,57013,ΩΡΑΙΟΚΑΣΤΡΟ ΘΕΣΣΑΛΟΝΙΚΗΣ
271,56533,ΠΟΛΙΧΝΗ
272,54352,ΤΟΥΜΠΑ
273,56429,ΩΡΑΙΟΚΑΣΤΡΟ
274,56429,ΕΥΚΑΡΠΙΑ ΩΡΑΙΟΚΑΣΤΡΟ
275,56429,ΔΕΡΒΕΝΙ
276,10433,ΑΘΗΝΑΙΩΝ
277,10439,ΑΘΗΝΑΙΩΝ
